"filename", "language", "XML", "Java", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\README.md", "Markdown", 0, 0, 10, 0, 0, 9, 19
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\AdvancedTermAverager.class", "Java", 0, 72, 0, 0, 0, 0, 72
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition.class", "Java", 0, 13, 0, 0, 0, 0, 13
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\ConditionReader.class", "Java", 0, 70, 0, 0, 0, 0, 70
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition_blocks\Compulsory.class", "Java", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition_blocks\ConditionBlock.class", "Java", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition_blocks\Exception.class", "Java", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition_blocks\MixedValue.class", "Java", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Condition_blocks\Value.class", "Java", 0, 21, 0, 0, 0, 0, 21
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\DataBridge.class", "Java", 0, 24, 0, 0, 0, 0, 24
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Master.class", "Java", 0, 83, 0, 0, 0, 0, 83
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Result.class", "Java", 0, 77, 0, 0, 0, 0, 77
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Student.class", "Java", 0, 26, 0, 0, 0, 0, 26
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\Subject.class", "Java", 0, 41, 0, 0, 0, 0, 41
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\TranscriptString.class", "Java", 0, 61, 0, 0, 0, 0, 61
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\enums\Operator.class", "Java", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\model\enums\SubjectSignificance.class", "Java", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\view\Buttons.css", "CSS", 0, 0, 0, 18, 4, 3, 25
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\view\MainScreen.css", "CSS", 0, 0, 0, 6, 3, 2, 11
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\view\MainScreen.fxml", "XML", 8, 0, 0, 0, 0, 3, 11
"c:\Users\Subham Rai\Workspace\Java\Projects\Result_Engine\bin\view\MainScreenController.class", "Java", 0, 6, 0, 0, 0, 0, 6
